season,team,number,player,year,position,gp,gs,goals,assists,points,year_num,year_std,position_zone,position_group
2023-24,trinity western,4,vito de cotiis,FR,D,13,13.0,0,1,1,1,1st,D,DEF
2023-24,trinity western,15,aiden evans,FR,D,11,9.0,0,0,0,1,1st,D,DEF
2023-24,trinity western,7,keishean francois,SO,F,11,6.0,1,2,3,2,2nd,F,FOR
2023-24,trinity western,30,yeshua silwamba,JR,GK,11,11.0,0,0,0,3,3rd,GK,GK
2023-24,trinity western,27,kieran eve,SO,M,10,8.0,0,0,0,2,2nd,M,MID
2023-24,trinity western,24,jonny grant,JR,D,10,4.0,0,0,0,3,3rd,D,DEF
2023-24,trinity western,12,jace wiebe,FR,F,9,3.0,1,0,1,1,1st,F,FOR
2023-24,trinity western,20,jordan low,SO,M,8,7.0,1,1,2,2,2nd,M,MID
2023-24,trinity western,26,malcolm kengni,FR,M,6,1.0,1,0,1,1,1st,M,MID
2023-24,trinity western,3,mikey dale,JR,D,5,3.0,0,0,0,3,3rd,D,DEF
2023-24,trinity western,33,jordan marwood,SR,GK,4,4.0,0,0,0,4,4th,GK,GK
2023-24,trinity western,14,marcel bona,FR,M,3,2.0,1,0,1,1,1st,M,MID
2023-24,trinity western,16,kosta adzic,FR,D,2,1.0,0,0,0,1,1st,D,DEF
2023-24,trinity western,34,stefan martinelli,FR,D,1,0.0,0,0,0,1,1st,D,DEF
2023-24,trinity western,2,sam northcott,FR,D,1,1.0,0,0,0,1,1st,D,DEF
2023-24,trinity western,32,josh reinhard,FR,D,1,0.0,0,0,0,1,1st,D,DEF
2023-24,trinity western,36,david saavedra,FR,F,1,0.0,0,0,0,1,1st,F,FOR
2023-24,saskatchewan,7,ethan cabral,So,W,14,10.0,3,0,3,2,2nd,W,FOR
2023-24,saskatchewan,15,robert mackay,Jr,M,14,11.0,0,1,1,3,3rd,M,MID
2023-24,saskatchewan,10,diego reveco,So,M,14,12.0,3,3,6,2,2nd,M,MID
2023-24,saskatchewan,1,jaron slopinski,So,GK,14,14.0,0,0,0,2,2nd,GK,GK
2023-24,saskatchewan,9,robert woodroffe-brown,Fr,ST,14,8.0,2,0,2,1,1st,ST,FOR
2023-24,saskatchewan,12,luke mackie,Jr,M,13,13.0,0,0,0,3,3rd,M,MID
2023-24,saskatchewan,11,ahmed mohammed,Jr,F,13,13.0,1,0,1,3,3rd,F,FOR
2023-24,saskatchewan,17,sergio molina,So,FB,13,13.0,0,0,0,2,2nd,FB,DEF
2023-24,saskatchewan,2,zach edwards,Sr,CB,12,12.0,0,0,0,4,4th,CB,DEF
2023-24,saskatchewan,3,julian calderon,So,FB,11,9.0,0,0,0,2,2nd,FB,DEF
2023-24,saskatchewan,4,kevin garic,Sr,D,11,11.0,0,0,0,4,4th,D,DEF
2023-24,saskatchewan,8,matthew hnatiw,So,M,11,7.0,0,0,0,2,2nd,M,MID
2023-24,saskatchewan,5,holden mcleay,Fr,D,10,3.0,0,0,0,1,1st,D,DEF
2023-24,saskatchewan,13,gabriele altomare,Fr,FB,9,3.0,0,0,0,1,1st,FB,DEF
2023-24,saskatchewan,14,rajesh rodney,So,ST,9,3.0,1,0,1,2,2nd,ST,FOR
2023-24,saskatchewan,25,misgana killoh,So,M,7,1.0,0,0,0,2,2nd,M,MID
2023-24,saskatchewan,19,joshua malin,So,M,6,2.0,0,0,0,2,2nd,M,MID
2023-24,saskatchewan,24,daler tokhirov,So,W,5,5.0,0,0,0,2,2nd,W,FOR
2023-24,saskatchewan,16,alessandro calado,So,M,4,4.0,0,0,0,2,2nd,M,MID
2023-24,saskatchewan,23,ty lee,Fr,M,4,0.0,0,0,0,1,1st,M,MID
2023-24,saskatchewan,18,aydin wiebe,So,M,2,0.0,0,0,0,2,2nd,M,MID
2023-24,macewan,6,abass ajibade,,M,14,14.0,1,0,1,0,UNK,M,MID
2023-24,macewan,11,nicolas luczkiewicz,,M,14,13.0,0,4,4,0,UNK,M,MID
2023-24,macewan,29,philip masri,,F,14,14.0,6,2,8,0,UNK,F,FOR
2023-24,macewan,13,shameiks mcleod,,M,14,12.0,0,0,0,0,UNK,M,MID
2023-24,macewan,25,antony caceres,,M,12,7.0,4,1,5,0,UNK,M,MID
2023-24,macewan,14,kayden dugas,,F,12,7.0,2,1,3,0,UNK,F,FOR
2023-24,macewan,5,jakob sievert,,M,12,12.0,0,1,1,0,UNK,M,MID
2023-24,macewan,7,rakan yassin,,F,12,12.0,2,0,2,0,UNK,F,FOR
2023-24,macewan,8,ali yildiz,,M,12,8.0,1,1,2,0,UNK,M,MID
2023-24,macewan,2,chance carter,,M,10,10.0,0,1,1,0,UNK,M,MID
2023-24,macewan,20,stewart jamieson,,D,10,9.0,0,1,1,0,UNK,D,DEF
2023-24,macewan,31,marko ilich,,GK,9,9.0,0,0,0,0,UNK,GK,GK
2023-24,macewan,17,felix guite,,M,8,2.0,1,0,1,0,UNK,M,MID
2023-24,macewan,3,ernest sungura-bilebwa,,D,8,5.0,0,0,0,0,UNK,D,DEF
2023-24,macewan,18,egzon jetishi,,M,6,4.0,1,1,2,0,UNK,M,MID
2023-24,macewan,30,david sithole,,GK,6,5.0,0,0,0,0,UNK,GK,GK
2023-24,macewan,23,sam vieira,,,6,5.0,0,1,1,0,UNK,UNK,UNK
2023-24,macewan,19,t-boy fayia,,D,5,5.0,0,0,0,0,UNK,D,DEF
2023-24,macewan,16,zewdu mekonnen,,F,5,0.0,0,0,0,0,UNK,F,FOR
2023-24,macewan,33,brennan kahler,,D,3,0.0,0,0,0,0,UNK,D,DEF
2023-24,macewan,15,abhiroop sandhu,,M,3,0.0,0,0,0,0,UNK,M,MID
2023-24,macewan,10,michael enes,,M,2,1.0,0,0,0,0,UNK,M,MID
2023-24,macewan,24,ola ojo-mabayoje,,M,1,0.0,0,0,0,0,UNK,M,MID
2023-24,macewan,27,nick stefansson,,D,1,0.0,0,0,0,0,UNK,D,DEF
