goals,shots,sog,assists,player_count,avg_player_year,for,mid,G_mean,SH_mean,SOG_mean,A_mean,match_id,team,season,date,home_team,away_team,is_home,result,goal_diff,shot_diff,sog_diff,assist_diff,G_mean_diff,SH_mean_diff,SOG_mean_diff,A_mean_diff
3,17,10,3,17,4.0,1.0,0.0,0.1764705882352941,1.0,0.5882352941176471,0.1764705882352941,2024-25__sat-24__ubc__thompson-rivers,thompson-rivers,2024-25,sat. 24,ubc,thompson rivers,0,loss,2,9,8,2,0.1098039215686275,0.4666666666666667,0.4549019607843138,0.1098039215686275
1,6,2,1,16,,0.0,0.0,0.0625,0.375,0.125,0.0625,2024-25__sat-28__alberta__lethbridge,lethbridge,2024-25,sat. 28,alberta,lethbridge,0,draw,0,1,-1,1,0.003676470588235302,0.08088235294117652,-0.0514705882352941,0.0625
0,12,2,0,14,,0.0,0.0,0.0,0.8571428571428571,0.1428571428571428,0.0,2024-25__sat-28__macewan__saskatchewan,saskatchewan,2024-25,sat. 28,macewan,saskatchewan,0,win,-1,-4,-6,-1,-0.0714285714285714,-0.2857142857142857,-0.4285714285714286,-0.0714285714285714
1,10,6,1,15,,0.0,0.0,0.0666666666666666,0.6666666666666666,0.4,0.0666666666666666,2024-25__sat-28__mount-royal__calgary,calgary,2024-25,sat. 28,mount royal,calgary,0,draw,0,7,4,1,-0.010256410256410303,0.4358974358974359,0.24615384615384622,0.0666666666666666
0,1,0,0,18,,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,2024-25__sat-28__thompson-rivers__victoria,victoria,2024-25,sat. 28,thompson rivers,victoria,0,win,-2,-12,-7,-1,-0.125,-0.7569444444444445,-0.4375,-0.0625
0,6,3,0,15,,0.0,0.0,0.0,0.4,0.2,0.0,2024-25__sat-28__ubc-okanagan__ubc,ubc,2024-25,sat. 28,ubc okanagan,ubc,0,win,-2,-16,-7,-2,-0.1176470588235294,-0.8941176470588236,-0.38823529411764707,-0.1176470588235294
3,12,10,2,14,,0.0,0.0,0.2142857142857142,0.8571428571428571,0.7142857142857143,0.1428571428571428,2024-25__sat-28__unbc__trinity-western,trinity-western,2024-25,sat. 28,unbc,trinity western,0,win,-1,-10,-8,-2,-0.05238095238095242,-0.6095238095238095,-0.48571428571428565,-0.12380952380952381
1,10,2,1,16,,0.0,0.0,0.0625,0.625,0.125,0.0625,2024-25__sat-31__calgary__mount-royal,mount-royal,2024-25,sat. 31,calgary,mount royal,0,draw,0,-3,-2,0,0.0,-0.1875,-0.125,0.0
0,8,5,0,15,,0.0,0.0,0.0,0.5333333333333333,0.3333333333333333,0.0,2024-25__sat-31__thompson-rivers__ufv,ufv,2024-25,sat. 31,thompson rivers,ufv,0,win,-2,-6,-2,-1,-0.125,-0.3416666666666667,-0.10416666666666669,-0.0625
1,8,4,1,14,,0.0,0.0,0.0714285714285714,0.5714285714285714,0.2857142857142857,0.0714285714285714,2024-25__sat-31__ubc-okanagan__trinity-western,trinity-western,2024-25,sat. 31,ubc okanagan,trinity western,0,loss,1,-4,0,1,0.0714285714285714,-0.13445378151260512,0.050420168067226906,0.0714285714285714
0,4,2,0,17,,0.0,0.0,0.0,0.2352941176470588,0.1176470588235294,0.0,2024-25__sat-31__unbc__victoria,victoria,2024-25,sat. 31,unbc,victoria,0,win,-4,-10,-10,-4,-0.2352941176470588,-0.5882352941176471,-0.5882352941176471,-0.2352941176470588
5,32,13,5,17,,0.0,0.0,0.2941176470588235,1.8823529411764703,0.7647058823529411,0.2941176470588235,2024-25__sat-5__calgary__macewan,macewan,2024-25,sat. 5,calgary,macewan,0,loss,4,27,11,5,0.23161764705882348,1.5698529411764703,0.6397058823529411,0.2941176470588235
1,8,3,0,17,,0.0,0.0,0.0588235294117647,0.4705882352941176,0.1764705882352941,0.0,2024-25__sat-5__mount-royal__alberta,alberta,2024-25,sat. 5,mount royal,alberta,0,win,-3,-5,-6,-4,-0.1764705882352941,-0.29411764705882354,-0.35294117647058826,-0.2352941176470588
0,10,5,0,15,,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,2024-25__sat-5__saskatchewan__lethbridge,lethbridge,2024-25,sat. 5,saskatchewan,lethbridge,0,draw,0,7,5,0,0.0,0.47916666666666663,0.3333333333333333,0.0
0,13,4,0,14,,0.0,0.0,0.0,0.9285714285714286,0.2857142857142857,0.0,2024-25__sat-5__trinity-western__thompson-rivers,thompson-rivers,2024-25,sat. 5,trinity western,thompson rivers,0,draw,0,10,3,0,0.0,0.7285714285714286,0.2190476190476191,0.0
3,19,9,2,15,,0.0,0.0,0.2,1.2666666666666666,0.6,0.1333333333333333,2024-25__sat-5__ubc__unbc,unbc,2024-25,sat. 5,ubc,unbc,0,loss,3,15,8,2,0.2,0.9809523809523809,0.5285714285714286,0.1333333333333333
1,9,5,1,15,,0.0,0.0,0.0666666666666666,0.6,0.3333333333333333,0.0666666666666666,2024-25__sat-7__alberta__calgary,calgary,2024-25,sat. 7,alberta,calgary,0,loss,1,1,4,1,0.0666666666666666,0.1294117647058824,0.2745098039215686,0.0666666666666666
0,11,3,0,17,,0.0,0.0,0.0,0.6470588235294118,0.1764705882352941,0.0,2024-25__sat-7__lethbridge__saskatchewan,saskatchewan,2024-25,sat. 7,lethbridge,saskatchewan,0,win,-1,2,-1,0,-0.0666666666666666,0.04705882352941182,-0.0901960784313725,0.0
1,11,4,1,14,,0.0,0.0,0.0714285714285714,0.7857142857142857,0.2857142857142857,0.0714285714285714,2024-25__sat-7__macewan__mount-royal,mount-royal,2024-25,sat. 7,macewan,mount royal,0,draw,0,-4,-6,1,0.012605042016806699,-0.09663865546218486,-0.3025210084033614,0.0714285714285714
4,24,13,2,17,,0.0,0.0,0.2352941176470588,1.411764705882353,0.7647058823529411,0.1176470588235294,2024-25__sat-7__ubc__ufv,ufv,2024-25,sat. 7,ubc,ufv,0,loss,3,20,9,1,0.1727941176470588,1.161764705882353,0.5147058823529411,0.055147058823529396
1,14,8,1,13,,0.0,0.0,0.0769230769230769,1.0769230769230769,0.6153846153846154,0.0769230769230769,2024-25__sat-7__unbc__ubc-okanagan,ubc-okanagan,2024-25,sat. 7,unbc,ubc okanagan,0,draw,0,1,1,1,0.005494505494505503,0.14835164835164827,0.11538461538461542,0.0769230769230769
1,6,5,1,16,,0.0,0.0,0.0625,0.375,0.3125,0.0625,2024-25__sat-7__victoria__trinity-western,trinity-western,2024-25,sat. 7,victoria,trinity western,0,loss,1,-3,0,1,0.0625,-0.1875,0.0,0.0625
3,16,8,2,16,,0.0,0.0,0.1875,1.0,0.5,0.125,2024-25__sun-13__alberta__macewan,macewan,2024-25,sun. 13,alberta,macewan,0,loss,3,6,3,2,0.1875,0.2857142857142857,0.1428571428571429,0.125
1,4,1,1,16,,0.0,0.0,0.0625,0.25,0.0625,0.0625,2024-25__sun-15__ubc-okanagan__calgary,calgary,2024-25,sun. 15,ubc okanagan,calgary,0,win,-1,-10,-6,-2,-0.0625,-0.625,-0.375,-0.125
1,6,4,1,17,,0.0,0.0,0.0588235294117647,0.3529411764705882,0.2352941176470588,0.0588235294117647,2024-25__sun-15__ufv__lethbridge,lethbridge,2024-25,sun. 15,ufv,lethbridge,0,win,-1,-7,-1,-1,-0.0588235294117647,-0.4117647058823529,-0.05882352941176469,-0.0588235294117647
1,14,9,0,15,,0.0,0.0,0.0666666666666666,0.9333333333333332,0.6,0.0,2024-25__sun-15__unbc__macewan,macewan,2024-25,sun. 15,unbc,macewan,0,win,-3,0,-2,-4,-0.2190476190476191,-0.06666666666666676,-0.18571428571428572,-0.2857142857142857
3,16,9,3,16,,0.0,0.0,0.1875,1.0,0.5625,0.1875,2024-25__sun-15__victoria__saskatchewan,saskatchewan,2024-25,sun. 15,victoria,saskatchewan,0,loss,3,14,9,3,0.1875,0.8823529411764706,0.5625,0.1875
0,18,9,0,17,,0.0,0.0,0.0,1.0588235294117647,0.5294117647058824,0.0,2024-25__sun-1__lethbridge__alberta,alberta,2024-25,sun. 1,lethbridge,alberta,0,win,-1,4,2,-1,-0.0714285714285714,0.05882352941176472,0.02941176470588236,-0.0714285714285714
3,16,9,3,16,,0.0,0.0,0.1875,1.0,0.5625,0.1875,2024-25__sun-1__saskatchewan__macewan,macewan,2024-25,sun. 1,saskatchewan,macewan,0,loss,3,11,7,3,0.1875,0.6153846153846154,0.4086538461538462,0.1875
1,11,4,0,18,,0.0,0.0,0.0555555555555555,0.6111111111111112,0.2222222222222222,0.0,2024-25__sun-20__lethbridge__mount-royal,mount-royal,2024-25,sun. 20,lethbridge,mount royal,0,win,-3,0,-4,-4,-0.1944444444444445,-0.07638888888888884,-0.2777777777777778,-0.25
0,4,4,0,17,,0.0,0.0,0.0,0.2352941176470588,0.2352941176470588,0.0,2024-25__sun-20__saskatchewan__calgary,calgary,2024-25,sun. 20,saskatchewan,calgary,0,win,-5,-6,-5,-1,-0.2941176470588235,-0.3529411764705883,-0.2941176470588236,-0.0588235294117647
2,12,6,2,15,,0.0,0.0,0.1333333333333333,0.8,0.4,0.1333333333333333,2024-25__sun-20__ufv__victoria,victoria,2024-25,sun. 20,ufv,victoria,0,loss,1,3,-2,2,0.06190476190476191,0.15714285714285714,-0.17142857142857137,0.1333333333333333
2,18,6,2,16,,0.0,0.0,0.125,1.125,0.375,0.125,2024-25__sun-22__alberta__thompson-rivers,thompson-rivers,2024-25,sun. 22,alberta,thompson rivers,0,loss,1,14,5,1,0.0625,0.875,0.3125,0.0625
5,14,6,4,16,,0.0,0.0,0.3125,0.875,0.375,0.25,2024-25__sun-22__calgary__ufv,ufv,2024-25,sun. 22,calgary,ufv,0,loss,5,4,3,4,0.3125,0.2867647058823529,0.1985294117647059,0.25
1,16,8,1,15,,0.0,0.0,0.0666666666666666,1.0666666666666669,0.5333333333333333,0.0666666666666666,2024-25__sun-22__lethbridge__ubc-okanagan,ubc-okanagan,2024-25,sun. 22,lethbridge,ubc okanagan,0,draw,0,4,6,0,0.007843137254901898,0.36078431372549036,0.41568627450980394,0.007843137254901898
0,12,2,0,12,,0.0,0.0,0.0,1.0,0.1666666666666666,0.0,2024-25__sun-22__macewan__trinity-western,trinity-western,2024-25,sun. 22,macewan,trinity western,0,win,-1,1,-4,-1,-0.0666666666666666,0.2666666666666667,-0.23333333333333342,-0.0666666666666666
1,6,5,1,16,,0.0,0.0,0.0625,0.375,0.3125,0.0625,2024-25__sun-22__mount-royal__victoria,victoria,2024-25,sun. 22,mount royal,victoria,0,loss,1,1,5,1,0.0625,-0.009615384615384581,0.3125,0.0625
