season,team,number,player,year,position,gp,gs,goals,assists,points
2023-24,Lethbridge,14,Cole Rosenlund,,MF,14,13.0,0,0,0
2023-24,Lethbridge,20,Kai Sakaguchi,,F,14,14.0,3,0,3
2023-24,Lethbridge,30,Armaan Thawer,,GK,14,14.0,0,0,0
2023-24,Lethbridge,11,Alasdair Coyle,,MF,13,13.0,4,0,4
2023-24,Lethbridge,17,David Musk,,MF,13,3.0,0,0,0
2023-24,Lethbridge,9,Simon Rolfson,,F,13,11.0,0,0,0
2023-24,Lethbridge,22,Jeremy Dalla,,D,12,10.0,0,0,0
2023-24,Lethbridge,8,Will Hughes,,D,12,11.0,6,5,11
2023-24,Lethbridge,18,Cole Jackson,,F,12,3.0,0,0,0
2023-24,Lethbridge,24,Kyle Szymanski,,D,12,5.0,0,0,0
2023-24,Lethbridge,6,Thomas Denness,,D,11,9.0,0,0,0
2023-24,Lethbridge,25,Karim Bachir,,MF,10,10.0,4,1,5
2023-24,Lethbridge,23,Tyrell Cook,,F,10,3.0,0,0,0
2023-24,Lethbridge,10,Danilo Morales,,F,10,7.0,1,0,1
2023-24,Lethbridge,26,Abraham Efunbajo,,F,7,3.0,0,0,0
2023-24,Lethbridge,27,Ziad El Hasumi,,D,6,1.0,0,0,0
2023-24,Lethbridge,12,Sam Popowich,,F,3,1.0,0,0,0
2023-24,Lethbridge,7,Adam Turner,,MF,3,0.0,0,0,0
2023-24,Lethbridge,16,Nathaniel Riemer,,D,2,1.0,0,0,0
2023-24,Lethbridge,21,Cadel Goertzen,,F,1,0.0,0,0,0
2023-24,Trinity Western,11,Charles Nana,JR,F,15,10.0,4,0,4
2023-24,Trinity Western,22,Francis Powell,JR,M,15,12.0,0,0,0
2023-24,Trinity Western,10,Thomas Powell,JR,M,15,15.0,4,3,7
2023-24,Trinity Western,21,Luca Alberti,JR,D,14,4.0,2,4,6
2023-24,Trinity Western,19,Mario Banovic,SO,D,14,14.0,1,1,2
2023-24,Trinity Western,5,Adam Hajdecki,JR,D,14,14.0,0,0,0
2023-24,Trinity Western,17,Christian Rossi,JR,F,14,8.0,1,2,3
2023-24,Trinity Western,8,Xander Roxburgh,JR,M,14,4.0,3,1,4
2023-24,Trinity Western,6,Joey Seo,JR,M,14,10.0,0,2,2
2023-24,Trinity Western,4,Vito De Cotiis,FR,D,13,13.0,0,1,1
2023-24,Trinity Western,15,Aiden Evans,FR,D,11,9.0,0,0,0
2023-24,Trinity Western,7,Keishean Francois,SO,F,11,6.0,1,2,3
2023-24,Trinity Western,30,Yeshua Silwamba,JR,GK,11,11.0,0,0,0
2023-24,Trinity Western,27,Kieran Eve,SO,M,10,8.0,0,0,0
2023-24,Trinity Western,24,Jonny Grant,JR,D,10,4.0,0,0,0
2023-24,Trinity Western,12,Jace Wiebe,FR,F,9,3.0,1,0,1
2023-24,Trinity Western,20,Jordan Low,SO,M,8,7.0,1,1,2
2023-24,Trinity Western,26,Malcolm Kengni,FR,M,6,1.0,1,0,1
2023-24,Trinity Western,3,Mikey Dale,JR,D,5,3.0,0,0,0
2023-24,Trinity Western,33,Jordan Marwood,SR,GK,4,4.0,0,0,0
2023-24,Trinity Western,14,Marcel Bona,FR,M,3,2.0,1,0,1
2023-24,Trinity Western,16,Kosta Adzic,FR,D,2,1.0,0,0,0
2023-24,Trinity Western,34,Stefan Martinelli,FR,D,1,0.0,0,0,0
2023-24,Trinity Western,2,Sam Northcott,FR,D,1,1.0,0,0,0
2023-24,Trinity Western,32,Josh Reinhard,FR,D,1,0.0,0,0,0
2023-24,Trinity Western,36,David Saavedra,FR,F,1,0.0,0,0,0
2023-24,Saskatchewan,7,Ethan Cabral,So,W,14,10.0,3,0,3
2023-24,Saskatchewan,15,Robert Mackay,Jr,M,14,11.0,0,1,1
2023-24,Saskatchewan,10,Diego Reveco,So,M,14,12.0,3,3,6
2023-24,Saskatchewan,1,Jaron Slopinski,So,GK,14,14.0,0,0,0
2023-24,Saskatchewan,9,Robert Woodroffe-Brown,Fr,ST,14,8.0,2,0,2
2023-24,Saskatchewan,12,Luke Mackie,Jr,M,13,13.0,0,0,0
2023-24,Saskatchewan,11,Ahmed Mohammed,Jr,F,13,13.0,1,0,1
2023-24,Saskatchewan,17,Sergio Molina,So,FB,13,13.0,0,0,0
2023-24,Saskatchewan,2,Zach Edwards,Sr,CB,12,12.0,0,0,0
2023-24,Saskatchewan,3,Julian Calderon,So,FB,11,9.0,0,0,0
2023-24,Saskatchewan,4,Kevin Garic,Sr,D,11,11.0,0,0,0
2023-24,Saskatchewan,8,Matthew Hnatiw,So,M,11,7.0,0,0,0
2023-24,Saskatchewan,5,Holden Mcleay,Fr,D,10,3.0,0,0,0
2023-24,Saskatchewan,13,Gabriele Altomare,Fr,FB,9,3.0,0,0,0
2023-24,Saskatchewan,14,Rajesh Rodney,So,ST,9,3.0,1,0,1
2023-24,Saskatchewan,25,Misgana Killoh,So,M,7,1.0,0,0,0
2023-24,Saskatchewan,19,Joshua Malin,So,M,6,2.0,0,0,0
2023-24,Saskatchewan,24,Daler Tokhirov,So,W,5,5.0,0,0,0
2023-24,Saskatchewan,16,Alessandro Calado,So,M,4,4.0,0,0,0
2023-24,Saskatchewan,23,Ty Lee,Fr,M,4,0.0,0,0,0
2023-24,Saskatchewan,18,Aydin Wiebe,So,M,2,0.0,0,0,0
2023-24,MacEwan,6,Abass Ajibade,,M,14,14.0,1,0,1
2023-24,MacEwan,11,Nicolas Luczkiewicz,,M,14,13.0,0,4,4
2023-24,MacEwan,29,Philip Masri,,F,14,14.0,6,2,8
2023-24,MacEwan,13,Shameiks McLeod,,M,14,12.0,0,0,0
2023-24,MacEwan,25,Antony Caceres,,M,12,7.0,4,1,5
2023-24,MacEwan,14,Kayden Dugas,,F,12,7.0,2,1,3
